Student ID,Gender,Date of Birth,Study Time,Grade,School Type,Absences,Math Score,Reading Score,Writing Score
1,Male,1996-12-03,11,D,Public,2,72,91,69
2,Female,2001-09-15,5,D,Private,0,66,58,62
3,Male,2002-08-09,8,A,Private,2,75,99,77
4,Male,1999-04-29,8,A,Private,3,57,76,97
5,Male,1995-06-11,9,B,Private,1,78,51,78
6,Female,1995-07-21,11,A,Private,1,75,54,62
7,Male,2000-06-04,11,C,Public,4,59,78,95
8,Male,1997-09-22,15,D,Private,1,75,86,84
9,Male,2001-05-06,8,A,Public,4,83,87,55
10,Female,2005-10-09,11,A,Private,5,100,68,67
11,Male,1997-03-26,15,B,Public,0,90,57,100
12,Male,2004-02-25,7,B,Public,3,56,97,54
13,Male,1996-03-31,10,C,Private,4,53,94,96
14,Male,2004-09-03,6,D,Private,0,99,50,74
15,Female,2005-05-26,14,B,Private,1,94,71,51
16,Male,1998-06-29,13,A,Public,1,60,66,59
17,Female,1997-10-13,9,D,Private,0,78,56,79
18,Female,2005-05-01,10,D,Public,1,85,74,99
19,Female,2001-06-01,8,A,Public,5,74,94,94
20,Male,2005-05-24,15,B,Public,5,70,53,54
21,Female,2002-07-30,14,A,Private,0,85,85,82
22,Male,2005-06-17,11,D,Private,4,59,55,50
23,Female,1995-12-04,13,F,Public,4,86,80,67
24,Female,1997-05-28,11,F,Public,0,58,68,81
25,Female,1997-12-12,5,C,Private,4,73,93,96
26,Female,1997-03-02,5,A,Public,4,84,88,98
27,Female,2005-12-07,13,A,Private,5,98,76,60
28,Female,2001-03-14,15,C,Public,4,84,59,70
29,Female,1997-02-02,13,C,Private,2,97,75,75
30,Female,2001-02-13,8,C,Public,3,85,68,74
31,Male,1996-01-15,13,D,Private,1,67,88,71
32,Male,1996-05-07,7,A,Public,2,98,52,76
33,Female,2003-07-10,11,D,Private,4,88,94,98
34,Female,1998-03-26,10,C,Private,5,81,62,62
35,Female,2000-08-24,12,A,Public,0,73,99,82
36,Male,2005-08-20,15,D,Public,4,72,77,83
37,Female,1995-03-06,13,D,Private,5,81,69,90
38,Male,2005-10-03,9,C,Public,3,86,77,84
39,Male,2005-09-15,5,A,Private,4,61,57,50
40,Male,2002-01-12,7,C,Public,0,98,90,70
41,Male,1998-09-29,14,A,Private,5,62,88,97
42,Male,1998-02-26,12,F,Private,5,72,50,55
43,Female,2000-07-20,15,B,Private,5,74,52,77
44,Female,2002-05-19,10,B,Private,3,84,62,66
45,Female,1999-02-04,12,B,Private,4,90,77,54
46,Female,2003-08-01,13,C,Private,3,79,98,80
47,Female,1998-03-08,8,F,Public,1,66,74,54
48,Male,1999-03-03,5,A,Public,1,98,82,87
49,Female,2002-03-25,5,D,Public,4,69,87,52
50,Female,1996-01-27,14,A,Private,3,97,55,72
51,Male,1999-08-26,8,D,Private,0,74,93,86
52,Female,1996-02-23,11,A,Private,5,71,94,86
53,Male,2001-05-25,6,F,Private,5,62,81,59
54,Female,1996-01-14,7,D,Public,4,68,94,59
55,Male,1999-12-02,5,C,Public,1,98,96,68
56,Female,2004-10-01,9,A,Private,1,85,70,66
57,Female,2001-03-28,5,A,Public,5,61,65,70
58,Male,2003-05-24,12,D,Public,4,90,70,63
59,Male,2000-09-19,5,C,Private,3,68,60,58
60,Male,2003-06-27,15,C,Public,1,61,86,95
61,Male,2000-12-22,5,F,Private,3,58,85,50
62,Male,1995-07-20,6,C,Public,1,56,84,100
63,Male,2000-02-07,6,C,Private,1,77,68,94
64,Male,1997-02-18,10,C,Private,2,63,69,62
65,Male,2003-02-25,11,B,Private,1,80,67,53
66,Female,2003-07-02,9,F,Private,0,68,96,50
67,Female,2003-07-17,5,A,Public,4,96,90,98
68,Male,1996-05-17,5,D,Private,4,65,98,89
69,Female,2001-09-20,7,A,Private,3,54,63,81
70,Female,2004-12-24,6,F,Private,1,84,64,83
71,Female,1999-10-18,9,D,Public,0,61,80,77
72,Female,1997-03-15,14,F,Private,3,74,50,80
73,Male,2000-11-16,10,C,Public,2,70,52,57
74,Female,2002-06-24,11,D,Private,3,85,65,88
75,Male,2000-03-10,8,C,Public,3,72,72,75
76,Female,2002-08-05,11,A,Public,1,65,60,83
77,Female,1999-04-20,15,A,Private,2,88,61,52
78,Female,1997-08-18,12,D,Public,3,94,59,99
79,Male,2005-06-07,15,D,Private,0,91,81,61
80,Female,2002-04-14,5,F,Private,0,88,65,50
81,Male,2005-12-28,10,F,Private,4,63,57,93
82,Female,1999-01-25,12,C,Public,2,80,87,54
83,Male,2002-05-14,9,D,Public,2,54,61,79
84,Female,2005-07-07,8,A,Private,4,84,73,79
85,Male,1997-10-25,6,F,Private,3,72,77,66
86,Male,2004-01-03,10,F,Public,2,78,57,97
87,Female,1996-05-17,10,A,Private,0,92,77,96
88,Male,2002-09-15,15,F,Private,0,60,85,72
89,Female,1996-02-02,5,C,Private,1,67,75,64
90,Female,1997-05-20,13,D,Public,2,96,57,86
91,Female,2002-10-13,15,A,Public,3,61,99,70
92,Female,1996-01-28,10,D,Public,4,58,77,63
93,Female,1995-07-26,7,F,Private,4,59,77,51
94,Female,1997-11-04,8,F,Private,3,93,86,60
95,Female,2000-02-25,15,A,Private,5,66,90,100
96,Female,2004-12-04,8,C,Public,1,87,85,88
97,Female,2003-01-18,7,B,Private,4,56,76,87
98,Female,1999-01-24,14,A,Private,2,95,66,83
99,Female,2005-04-20,7,B,Private,1,62,58,87
100,Male,2004-12-25,7,B,Private,2,89,82,99
